enginesize,stroke,horsepower,peakrpm,price
130,2.68,111,5000,13495
130,2.68,111,5000,16500
152,3.47,154,5000,16500
109,3.4,102,5500,13950
136,3.4,115,5500,17450
136,3.4,110,5500,15250
136,3.4,110,5500,17710
136,3.4,110,5500,18920
131,3.4,140,5500,23875
131,3.4,160,5500,17859.167
108,2.8,101,5800,16430
108,2.8,101,5800,16925
164,3.19,121,4250,20970
164,3.19,121,4250,21105
164,3.19,121,4250,24565
209,3.39,182,5400,30760
209,3.39,182,5400,41315
209,3.39,182,5400,36880
61,3.03,48,5100,5151
90,3.11,70,5400,6295
90,3.11,70,5400,6575
90,3.23,68,5500,5572
90,3.23,68,5500,6377
98,3.39,102,5500,7957
90,3.23,68,5500,6229
90,3.23,68,5500,6692
90,3.23,68,5500,7609
98,3.39,102,5500,8558
122,3.46,88,5000,8921
156,3.9,145,5000,12964
92,3.41,58,4800,6479
92,3.41,76,6000,6855
79,3.07,60,5500,5399
92,3.41,76,6000,6529
92,3.41,76,6000,7129
92,3.41,76,6000,7295
92,3.41,76,6000,7295
110,3.58,86,5800,7895
110,3.58,86,5800,9095
110,3.58,86,5800,8845
110,3.58,86,5800,10295
110,3.58,101,5800,12945
110,3.58,100,5500,10345
111,3.23,78,4800,6785
90,3.11,70,5400,8916.5
90,3.11,70,5400,8916.5
119,3.23,90,5000,11048
258,4.17,176,4750,32250
258,4.17,176,4750,35550
326,2.76,262,5000,36000
91,3.15,68,5000,5195
91,3.15,68,5000,6095
91,3.15,68,5000,6795
91,3.15,68,5000,6695
91,3.15,68,5000,7395
70,3.255,101,6000,10945
70,3.255,101,6000,11845
70,3.255,101,6000,13645
80,3.255,135,6000,15645
122,3.39,84,4800,8845
122,3.39,84,4800,8495
122,3.39,84,4800,10595
122,3.39,84,4800,10245
122,3.39,64,4650,10795
122,3.39,84,4800,11245
140,3.16,120,5000,18280
134,3.64,72,4200,18344
183,3.64,123,4350,25552
183,3.64,123,4350,28248
183,3.64,123,4350,28176
183,3.64,123,4350,31600
234,3.1,155,4750,34184
234,3.1,155,4750,35056
308,3.35,184,4500,40960
304,3.35,184,4500,45400
140,3.12,175,5000,16503
92,3.23,68,5500,5389
92,3.23,68,5500,6189
92,3.23,68,5500,6669
98,3.39,102,5500,7689
110,3.46,116,5500,9959
122,3.46,88,5000,8499
156,3.86,145,5000,12629
156,3.86,145,5000,14869
156,3.86,145,5000,14489
122,3.46,88,5000,6989
122,3.46,88,5000,8189
110,3.46,116,5500,9279
110,3.46,116,5500,9279
97,3.29,69,5200,5499
103,3.47,55,4800,7099
97,3.29,69,5200,6649
97,3.29,69,5200,6849
97,3.29,69,5200,7349
97,3.29,69,5200,7299
97,3.29,69,5200,7799
97,3.29,69,5200,7499
97,3.29,69,5200,7999
97,3.29,69,5200,8249
120,3.47,97,5200,8949
120,3.47,97,5200,9549
181,3.27,152,5200,13499
181,3.27,152,5200,14399
181,3.27,152,5200,13499
181,3.27,160,5200,17199
181,3.27,200,5200,19699
181,3.27,160,5200,18399
120,3.19,97,5000,11900
152,3.52,95,4150,13200
120,3.19,97,5000,12440
152,3.52,95,4150,13860
120,2.19,95,5000,15580
152,3.52,95,4150,16900
120,2.19,95,5000,16695
152,3.52,95,4150,17075
120,3.19,97,5000,16630
152,3.52,95,4150,17950
134,3.21,142,5600,18150
90,3.23,68,5500,5572
98,3.39,102,5500,7957
90,3.23,68,5500,6229
90,3.23,68,5500,6692
98,3.23,68,5500,7609
122,3.46,88,5000,8921
156,3.86,145,5000,12764
151,3.11,143,5500,22018
194,2.9,207,5900,32528
194,2.9,207,5900,34028
194,2.9,207,5900,37028
203,3.11,288,5750,31400.5
132,3.9,90,5100,9295
132,3.9,90,5100,9895
121,3.07,110,5250,11850
121,3.07,110,5250,12170
121,2.07,110,5250,15040
121,3.07,110,5250,15510
121,3.07,160,5500,18150
121,3.07,160,5500,18620
97,2.36,69,4900,5118
108,2.64,73,4400,7053
108,2.64,73,4400,7603
108,2.64,82,4800,7126
108,2.64,82,4400,7775
108,2.64,94,5200,9960
108,2.64,82,4800,9233
108,2.64,111,4800,11259
108,2.64,82,4800,7463
108,2.64,94,5200,10198
108,2.64,82,4800,8013
108,2.64,111,4800,11694
92,3.03,62,4800,5348
92,3.03,62,4800,6338
92,3.03,62,4800,6488
92,3.03,62,4800,6918
92,3.03,62,4800,7898
92,3.03,62,4800,8778
98,3.03,70,4800,6938
98,3.03,70,4800,7198
110,3.35,56,4500,7898
110,3.35,56,4500,7788
98,3.03,70,4800,7738
98,3.03,70,4800,8358
98,3.03,70,4800,9258
98,3.03,70,4800,8058
98,3.03,70,4800,8238
98,3.08,112,6600,9298
98,3.08,112,6600,9538
146,3.5,116,4800,8449
146,3.5,116,4800,9639
146,3.5,116,4800,9989
146,3.5,116,4800,11199
146,3.5,116,4800,11549
146,3.5,116,4800,17669
122,3.54,92,4200,8948
110,3.35,73,4500,10698
122,3.54,92,4200,9988
122,3.54,92,4200,10898
122,3.54,92,4200,11248
171,3.35,161,5200,16558
171,3.35,161,5200,15998
171,3.35,156,5200,15690
161,3.35,156,5200,15750
97,3.4,52,4800,7775
109,3.4,85,5250,7975
97,3.4,52,4800,7995
109,3.4,85,5250,8195
109,3.4,85,5250,8495
97,3.4,68,4500,9495
109,3.4,100,5500,9995
109,3.4,90,5500,11595
109,3.4,90,5500,9980
136,3.4,110,5500,13295
97,3.4,68,4500,13845
109,3.4,88,5500,12290
141,3.15,114,5400,12940
141,3.15,114,5400,13415
141,3.15,114,5400,15985
141,3.15,114,5400,16515
130,3.15,162,5100,18420
130,3.15,162,5100,18950
141,3.15,114,5400,16845
141,3.15,160,5300,19045
173,2.87,134,5500,21485
145,3.4,106,4800,22470
141,3.15,114,5400,22625
